iter	Passed	Remaining
0	1	891
1	3	778
2	4	730
3	5	709
4	7	725
5	9	737
6	10	732
7	11	718
8	13	712
9	14	701
10	15	692
11	17	690
12	18	685
13	20	680
14	21	678
15	22	673
16	24	669
17	25	670
18	27	669
19	28	664
20	29	660
21	30	655
22	32	653
23	33	653
24	35	651
25	36	647
26	37	644
27	38	640
28	40	639
29	41	637
30	42	634
31	44	630
32	45	628
33	46	627
34	48	627
35	49	625
36	50	622
37	52	620
38	53	618
39	54	616
40	56	615
41	57	613
42	58	610
43	60	609
44	61	607
45	62	606
46	64	605
47	65	603
48	67	602
49	68	600
50	69	599
51	71	598
52	72	597
53	74	596
54	75	594
55	76	592
56	77	590
57	79	591
58	80	589
59	82	587
60	83	585
61	84	583
62	86	583
63	87	581
64	89	580
65	90	578
66	91	576
67	92	575
68	94	574
69	95	572
70	96	570
71	98	569
72	99	569
73	101	568
74	102	566
75	103	564
76	105	563
77	106	561
78	107	560
79	109	559
80	110	558
81	112	557
82	113	556
83	115	555
84	116	554
85	118	553
86	119	551
87	120	549
88	122	548
89	123	546
90	124	545
91	126	543
92	127	542
93	128	540
94	130	539
95	131	537
96	132	537
97	134	535
98	135	533
99	136	532
100	138	530
101	139	529
102	141	528
103	142	527
104	143	525
105	145	524
106	147	525
107	148	524
108	149	522
109	151	520
110	152	519
111	153	517
112	155	516
113	156	514
114	157	512
115	159	511
116	160	510
117	161	508
118	162	506
119	164	505
120	165	503
121	166	502
122	168	500
123	169	498
124	171	498
125	172	496
126	173	495
127	175	494
128	176	493
129	178	491
130	179	490
131	180	488
132	181	487
133	183	485
134	184	483
135	185	482
136	187	480
137	188	479
138	189	477
139	191	476
140	192	474
141	193	473
142	195	471
143	196	470
144	197	468
145	198	467
146	200	465
147	201	464
148	202	462
149	204	461
150	205	459
151	206	458
152	208	456
153	209	455
154	210	453
155	211	452
156	213	450
157	214	449
158	215	448
159	217	446
160	218	444
161	219	443
162	221	442
163	222	440
164	223	439
165	225	439
166	227	438
167	229	437
168	231	437
169	232	436
170	233	435
171	235	433
172	236	432
173	237	430
174	239	429
175	240	428
176	242	426
177	243	425
178	244	423
179	245	422
180	247	420
181	248	419
182	249	417
183	251	416
184	252	414
185	253	413
186	255	411
187	256	410
188	257	408
189	258	407
190	260	406
191	261	404
192	262	403
193	264	401
194	265	400
195	266	398
196	268	397
197	269	395
198	270	394
199	271	393
200	273	391
201	274	390
202	275	388
203	277	387
204	278	385
205	279	384
206	281	382
207	282	381
208	284	380
209	285	379
210	286	377
211	288	376
212	289	375
213	290	373
214	292	372
215	293	370
216	294	369
217	295	367
218	297	366
219	298	365
220	299	363
221	301	362
222	302	360
223	303	359
224	305	357
225	306	356
226	307	355
227	308	353
228	310	352
229	311	350
230	312	349
231	314	348
232	315	346
233	316	345
234	318	343
235	319	342
236	321	341
237	322	340
238	323	338
239	325	337
240	326	336
241	327	334
242	329	333
243	330	331
244	331	330
245	333	329
246	334	327
247	336	326
248	337	325
249	338	323
250	340	322
251	341	321
252	342	319
253	344	318
254	345	316
255	346	315
256	348	314
257	349	313
258	350	311
259	352	310
260	353	308
261	354	307
262	356	306
263	357	304
264	359	303
265	360	302
266	361	300
267	363	299
268	364	298
269	365	296
270	367	295
271	368	294
272	369	292
273	371	291
274	372	290
275	374	288
276	375	287
277	376	285
278	378	284
279	379	283
280	380	281
281	382	280
282	383	279
283	384	277
284	386	276
285	387	274
286	388	273
287	390	272
288	392	271
289	393	270
290	394	268
291	396	267
292	397	266
293	399	264
294	400	263
295	401	262
296	403	260
297	404	259
298	406	258
299	408	257
300	409	255
301	411	254
302	412	253
303	414	251
304	415	250
305	416	249
306	418	247
307	420	246
308	422	245
309	423	244
310	425	243
311	426	241
312	428	240
313	430	239
314	431	238
315	433	237
316	435	236
317	436	234
318	437	233
319	439	232
320	441	230
321	442	229
322	444	228
323	445	226
324	447	225
325	448	224
326	449	222
327	451	221
328	452	220
329	454	218
330	455	217
331	457	216
332	458	214
333	460	213
334	461	212
335	463	210
336	464	209
337	466	208
338	467	207
339	469	205
340	470	204
341	472	203
342	474	201
343	475	200
344	477	199
345	478	197
346	480	196
347	481	195
348	482	193
349	484	192
350	485	191
351	487	189
352	488	188
353	490	186
354	491	185
355	493	184
356	494	182
357	495	181
358	497	179
359	498	178
360	499	177
361	501	175
362	502	174
363	503	173
364	505	171
365	506	170
366	508	168
367	510	167
368	511	166
369	513	165
370	514	163
371	516	162
372	517	160
373	518	159
374	520	158
375	521	156
376	523	155
377	524	153
378	525	152
379	527	151
380	528	149
381	529	148
382	531	147
383	532	145
384	534	144
385	535	142
386	536	141
387	538	140
388	539	138
389	541	137
390	542	135
391	543	134
392	545	133
393	546	131
394	548	130
395	549	129
396	550	127
397	552	126
398	554	124
399	555	123
400	557	122
401	558	120
402	560	119
403	561	118
404	562	116
405	564	115
406	565	113
407	567	112
408	568	111
409	570	109
410	571	108
411	573	107
412	574	105
413	575	104
414	577	102
415	578	101
416	579	100
417	581	98
418	582	97
419	584	95
420	585	94
421	586	93
422	588	91
423	589	90
424	590	88
425	592	87
426	593	86
427	595	84
428	596	83
429	597	82
430	599	80
431	600	79
432	602	77
433	603	76
434	604	75
435	606	73
436	607	72
437	608	70
438	610	69
439	611	68
440	612	66
441	614	65
442	615	63
443	616	62
444	618	61
445	619	59
446	621	58
447	622	56
448	623	55
449	625	54
450	626	52
451	628	51
452	629	50
